query_id,doc_id
q1,643
q1,8935
q1,9949
q1,13048
q1,13622
q1,17242
q1,18004
q1,22665
q1,27287
q1,27331
q1,30243
q1,30845
q1,31879
q1,36460
q1,38145
q1,44271
q1,44319
q1,48327
q1,49123
q1,50434
q1,50598
q1,56281
q1,57793
q1,59081
q1,60736
q1,69523
q1,69561
q1,70740
q1,75693
q1,82441
q1,88264
q1,88388
q1,88395
q1,93782
q1,96560
q1,103932
q1,104094
q2,3788
q2,11797
q2,12564
q2,18933
q2,19075
q2,20233
q2,21201
q2,23817
q2,25203
q2,26325
q2,27039
q2,27424
q2,27704
q2,27740
q2,31356
q2,32999
q2,36401
q2,37576
q2,37725
q2,37872
q2,40183
q2,40736
q2,40869
q2,46949
q2,49034
q2,51203
q2,51365
q2,51541
q2,57299
q2,57328
q2,57647
q2,59510
q2,59836
q2,66136
q2,66961
q2,68666
q2,74349
q2,74731
q2,76312
q2,76403
q2,80641
q2,87613
q2,87871
q2,87885
q2,92026
q2,99293
q2,99921
q2,100136
q2,101851
q2,103796
q2,104965
q2,106321
q2,107224
q2,107296
q2_silver,54
q2_silver,242
q2_silver,1266
q2_silver,1760
q2_silver,2854
q2_silver,4618
q2_silver,4928
q2_silver,5292
q2_silver,6651
q2_silver,7791
q2_silver,8303
q2_silver,8467
q2_silver,9092
q2_silver,9472
q2_silver,9986
q2_silver,10102
q2_silver,11184
q2_silver,11781
q2_silver,12161
q2_silver,12169
q2_silver,12172
q2_silver,12697
q2_silver,12768
q2_silver,13630
q2_silver,13952
q2_silver,14689
q2_silver,14941
q2_silver,15654
q2_silver,16611
q2_silver,17466
q2_silver,18321
q2_silver,18672
q2_silver,18903
q2_silver,19000
q2_silver,19290
q2_silver,20040
q2_silver,20586
q2_silver,20872
q2_silver,21089
q2_silver,22119
q2_silver,22444
q2_silver,23112
q2_silver,23161
q2_silver,23212
q2_silver,23580
q2_silver,24015
q2_silver,24299
q2_silver,24307
q2_silver,24793
q2_silver,25944
q2_silver,26676
q2_silver,26688
q2_silver,27173
q2_silver,27448
q2_silver,27705
q2_silver,27769
q2_silver,28938
q2_silver,30111
q2_silver,30320
q2_silver,30786
q2_silver,31213
q2_silver,31441
q2_silver,32625
q2_silver,32677
q2_silver,33928
q2_silver,34430
q2_silver,36678
q2_silver,36718
q2_silver,37983
q2_silver,39103
q2_silver,39454
q2_silver,39576
q2_silver,39848
q2_silver,39925
q2_silver,40205
q2_silver,40368
q2_silver,40853
q2_silver,41370
q2_silver,42166
q2_silver,42174
q2_silver,43107
q2_silver,43754
q2_silver,43848
q2_silver,46632
q2_silver,46834
q2_silver,47443
q2_silver,47450
q2_silver,48076
q2_silver,48312
q2_silver,49094
q2_silver,49242
q2_silver,49654
