query_id,doc_id
q1,643
q1,8935
q1,9949
q1,13048
q1,13622
q1,17242
q1,18004
q1,22665
q1,27287
q1,27331
q1,30243
q1,30845
q1,31879
q1,36460
q1,38145
q1,44271
q1,44319
q1,48327
q1,49123
q1,50434
q1,50598
q1,56281
q1,57793
q1,59081
q1,60736
q1,69523
q1,69561
q1,70740
q1,75693
q1,82441
q1,88264
q1,88388
q1,88395
q1,93782
q1,96560
q1,103932
q1,104094
q2,54
q2,242
q2,1266
q2,1760
q2,2854
q2,4618
q2,4928
q2,5292
q2,6651
q2,7791
q2,8303
q2,8467
q2,9092
q2,9472
q2,9986
q2,10102
q2,11184
q2,11781
q2,12161
q2,12169
q2,12172
q2,12697
q2,12768
q2,13630
q2,13952
q2,14689
q2,14941
q2,15654
q2,16611
q2,17466
q2,18321
q2,18672
q2,18903
q2,19000
q2,19290
q2,20040
q2,20586
q2,20872
q2,21089
q2,22119
q2,22444
q2,23112
q2,23161
q2,23212
q2,23580
q2,24015
q2,24299
q2,24307
q2,24793
q2,25944
q2,26676
q2,26688
q2,27173
q2,27448
q2,27705
q2,27769
q2,28938
q2,30111
q2,30320
q2,30786
q2,31213
q2,31441
q2,32625
q2,32677
q2,33928
q2,34430
q2,36678
q2,36718
q2,37983
q2,39103
q2,39454
q2,39576
q2,39848
q2,39925
q2,40205
q2,40368
q2,40853
q2,41370
q2,42166
q2,42174
q2,43107
q2,43754
q2,43848
q2,46632
q2,46834
q2,47443
q2,47450
q2,48076
q2,48312
q2,49094
q2,49242
q2,49654
q2,50163
q2,50318
q2,51094
q2,51335
q2,51343
q2,51480
q2,52127
q2,52164
q2,52201
q2,52214
q2,52852
q2,52940
q2,53271
q2,53641
q2,53778
q2,54055
q2,54147
q2,54177
q2,54491
q2,55182
q2,57088
q2,57142
q2,58446
q2,58680
q2,59354
q2,59938
q2,60156
q2,60194
q2,60857
q2,60993
q2,61278
q2,61492
q2,62343
q2,62829
q2,63249
q2,63363
q2,64511
q2,64823
q2,65502
q2,65674
q2,65717
q2,66546
q2,66647
q2,67144
q2,67211
q2,67309
q2,68194
q2,69635
q2,69865
q2,70363
q2,70791
q2,71574
q2,72294
q2,72753
q2,73637
q2,73751
q2,74185
q2,74349
q2,74381
q2,74434
q2,75113
q2,75596
q2,75988
q2,76973
q2,76997
q2,77526
q2,78050
q2,78415
q2,78773
q2,80225
q2,80641
q2,81755
q2,82241
q2,82386
q2,83516
q2,84245
q2,84605
q2,84781
q2,84802
q2,84937
q2,85432
q2,85926
q2,86637
q2,87240
q2,87566
q2,87848
q2,87863
q2,88465
q2,90328
q2,90365
q2,90690
q2,91210
q2,91250
q2,91563
q2,91692
q2,92438
q2,92454
q2,92611
q2,93013
q2,93164
